flow_developer_name,flow_id,version_number,process_type,touchpoint_type,touchpoint_name,touchpoint_detail,external_candidate
Display_Contacts,3018e000000ChQXAA0,27,Flow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Set Opp Created Notification],False
Email_Deal_Into_Compliance,301Px00000PtHTJIA3,4,AutoLaunchedFlow,Action:emailAlert,Opportunity.Notify_Owner_when_deal_goes_to_Closed_Won,Opportunity.Notify_Owner_when_deal_goes_to_Closed_Won [Deal With Compliance],False
Email_Stock_Receipts,3018e000000PFU6AAO,1,AutoLaunchedFlow,Action:emailAlert,SCMC__Receipt__c.Stock_Put_Away,SCMC__Receipt__c.Stock_Put_Away [Stock to Put Away],False
FFX_FAMAssetCheckAndApprove,3014K000000UyWwQAK,1,Flow,Action:submit,submit,submit [Submit to Approval],False
FFX_FAMFixedAssetActiveAmendment,3014K000000UyWxQAK,1,Flow,Subflow,FFX_FAMAddDepreciationToFixedAsset,FFX_FAMAddDepreciationToFixedAsset,False
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Create OPI Product Group],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateItem],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Product Group],True
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Accounting Item],True
FFXSCM_Process_Invoice_Line_Items,3018e0000004FVgAAM,2,AutoLaunchedFlow,Subflow,FFXSCM_Process_Invoice_Lines,FFXSCM_Process_Invoice_Lines,False
FFXSCM_Process_Invoice_Lines,301Px00000SoMlBIAV,4,AutoLaunchedFlow,Action:apex,GenericObjectOperationBatchLauncher,GenericObjectOperationBatchLauncher [Create Inv Trans Fin],True
FFXSCM_Process_Voided_Invoice,3018e0000004FVrAAM,2,Workflow,Action:flow,FFXSCM_Process_Invoice_Line_Items,FFXSCM_Process_Invoice_Line_Items [create reversal],False
ION_AddCompanyToBillingDoc_PB,3014K000000VDG7QAO,1,Workflow,Action:flow,ION_AddCompanyToBillingDocument,ION_AddCompanyToBillingDocument [AddCompanytoBD],False
ION_CreateSalesOrder_PB,3014K000000hBfHQAU,1,Workflow,Action:flow,ION_UpdateOppWithSORecType,ION_UpdateOppWithSORecType [UpdateOppWithSORecType],False
ION_CreateSalesOrder_PB,3014K000000hBfHQAU,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateSO],True
ION_CreateSalesOrder_PB_2,301Px00000Q4otpIAB,5,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [CreateSO],True
ION_Update_Corp_Currency_value_of_PO_PB,3014K000000545IQAQ,1,Workflow,Action:flow,ION_Update_PO_with_FFA_Cmp_Name_from_Warehouse,ION_Update_PO_with_FFA_Cmp_Name_from_Warehouse [Update Cmp of Wh to PO],False
ION_Update_Corp_Currency_value_of_PO_PB,3014K000000545IQAQ,1,Workflow,Action:flow,ION_Update_PO_with_SF_Exchange_Rate,ION_Update_PO_with_SF_Exchange_Rate [CallIONExchRateFlow],False
ION_Update_Invoice_Line_Item_PB,3014K000000545KQAQ,1,Workflow,Action:flow,ION_Update_Invoice_Line,ION_Update_Invoice_Line [Update Invoice Line],False
ION_Update_Sales_Order_Line_PB,3014K000000545OQAQ,1,Workflow,Action:flow,Update_Sales_Order_Line,Update_Sales_Order_Line [UpdateSOL],False
