"source_object","field_api_name","relationship_name","relationship_type","target_object","target_resolution","raw_data_type"
"APXT_BPM__Conductor__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Conductor__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Conductor__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Conductor__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Conductor__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXT_BPM__Conductor__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXT_BPM__Conductor_Setting__mdt","APXT_BPM__Conductor_Region__c","APXT_BPM__Conductor_Region__r","Lookup","APXT_BPM__Conductor_Region__mdt","ReferenceTo","Lookup(Conga Batch Region)"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Conga_Conductor__c","APXT_BPM__Conga_Conductor__r","Lookup","APXT_BPM__Conductor__c","ReferenceTo","Lookup(Conga Batch)"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Ran_as__c","APXT_BPM__Ran_as__r","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXT_BPM__Scheduled_Conductor_History__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Scheduled_Conductor_History__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXT_BPM__Scheduled_Conductor_History__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXT_BPM__Scheduled_Conductor_History__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_Host_Override__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_Host_Override__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_Host_Override__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_Host_Override__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_Host_Override__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Composer_Host_Override__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_QuickMerge__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Lookup(Conga Solution)"
"APXTConga4__Composer_QuickMerge__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_QuickMerge__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Composer_QuickMerge__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_QuickMerge__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Composer_QuickMerge__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Composer_QuickMerge__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Composer_Setting__mdt","APXTConga4__Connected_App_Setting__c","APXTConga4__Connected_App_Setting__r","Lookup","APXTConga4__Connected_App_Setting__mdt","ReferenceTo","Lookup(Connected App Setting)"
"APXTConga4__Conga_Collection__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Collection__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Collection__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Collection__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Collection_Solution__c","APXTConga4__Conga_Collection__c","APXTConga4__Conga_Collection__r","Lookup","APXTConga4__Conga_Collection__c","ReferenceTo","Master-Detail(Conga Collection)"
"APXTConga4__Conga_Collection_Solution__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Lookup(Conga Solution)"
"APXTConga4__Conga_Collection_Solution__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection_Solution__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Collection_Solution__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Collection_Solution__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Composer_Settings__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Composer_Settings__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Composer_Settings__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Composer_Settings__c","SetupOwnerId","SetupOwner","Lookup","Organization","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Composer_Settings__c","SetupOwnerId","SetupOwner","Lookup","Profile","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Composer_Settings__c","SetupOwnerId","SetupOwner","Lookup","User","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Composer_Settings__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Email_Staging__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Email_Staging__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Email_Staging__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Email_Staging__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Email_Staging__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Email_Staging__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Email_Template__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Email_Template__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Email_Template__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Email_Template__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Email_Template__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Email_Template__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Merge_Query__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Merge_Query__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Merge_Query__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Merge_Query__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Merge_Query__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Merge_Query__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Solution__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Solution__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution_Email_Template__c","APXTConga4__Conga_Email_Template__c","APXTConga4__Conga_Email_Template__r","Lookup","APXTConga4__Conga_Email_Template__c","ReferenceTo","Lookup(Conga Email Template)"
"APXTConga4__Conga_Solution_Email_Template__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Master-Detail(Conga Solution)"
"APXTConga4__Conga_Solution_Email_Template__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Email_Template__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Email_Template__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution_Email_Template__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution_Export_Setting__mdt","APXTConga4__Conga_Solution_Export_Environment__c","APXTConga4__Conga_Solution_Export_Environment__r","Lookup","APXTConga4__Conga_Solution_Export_Environment__mdt","ReferenceTo","Lookup(Conga Solution Export Environment)"
"APXTConga4__Conga_Solution_Parameter__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Master-Detail(Conga Solution)"
"APXTConga4__Conga_Solution_Parameter__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Parameter__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Parameter__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution_Parameter__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution_Query__c","APXTConga4__Conga_Query__c","APXTConga4__Conga_Query__r","Lookup","APXTConga4__Conga_Merge_Query__c","ReferenceTo","Lookup(Conga Query)"
"APXTConga4__Conga_Solution_Query__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Master-Detail(Conga Solution)"
"APXTConga4__Conga_Solution_Query__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Query__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Query__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution_Query__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution_Report__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Master-Detail(Conga Solution)"
"APXTConga4__Conga_Solution_Report__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Report__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Report__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution_Report__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solution_Template__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Master-Detail(Conga Solution)"
"APXTConga4__Conga_Solution_Template__c","APXTConga4__Conga_Template__c","APXTConga4__Conga_Template__r","Lookup","APXTConga4__Conga_Template__c","ReferenceTo","Lookup(Conga Template)"
"APXTConga4__Conga_Solution_Template__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Template__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solution_Template__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solution_Template__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Solutions_Settings__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solutions_Settings__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Solutions_Settings__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Solutions_Settings__c","SetupOwnerId","SetupOwner","Lookup","Organization","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Solutions_Settings__c","SetupOwnerId","SetupOwner","Lookup","Profile","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Solutions_Settings__c","SetupOwnerId","SetupOwner","Lookup","User","ReferenceTo","Lookup(Organization,Profile,User)"
"APXTConga4__Conga_Solutions_Settings__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Conga_Template__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Template__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Conga_Template__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Template__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Conga_Template__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Conga_Template__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Document_History__c","APXTConga4__Conga_Solution__c","APXTConga4__Conga_Solution__r","Lookup","APXTConga4__Conga_Solution__c","ReferenceTo","Lookup(Conga Solution)"
"APXTConga4__Document_History__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Document_History__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Document_History__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Document_History__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__Document_History__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Document_History__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__Document_History_Detail__c","APXTConga4__Document_History__c","APXTConga4__Document_History__r","Lookup","APXTConga4__Document_History__c","ReferenceTo","Master-Detail(Document History)"
"APXTConga4__Document_History_Detail__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Document_History_Detail__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__Document_History_Detail__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__Document_History_Detail__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__EventData__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__EventData__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__EventData__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__EventData__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__EventData__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__EventData__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"APXTConga4__VersionedData__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__VersionedData__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"APXTConga4__VersionedData__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"APXTConga4__VersionedData__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"APXTConga4__VersionedData__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"APXTConga4__VersionedData__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"Bank_Format_Constant__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"Bank_Format_Constant__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"Bank_Format_Constant__c","Originating_Bank_Account__c","Originating_Bank_Account__r","Lookup","c2g__codaBankAccount__c","ReferenceTo","Lookup(Bank Account)"
"Bank_Format_Constant__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"Bank_Format_Constant__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"Bank_Format_Constant__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"Bank_Format_Constant__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"c2g__AccountHealthMeasurementBatch__c","c2g__BatchProcess__c","c2g__BatchProcess__r","Lookup","c2g__fflib_BatchProcess__c","ReferenceTo","Lookup(FFA Batch Process)"
"c2g__AccountHealthMeasurementBatch__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountHealthMeasurementBatch__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountHealthMeasurementBatch__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"c2g__AccountHealthMeasurementBatch__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"c2g__AccountHealthMeasurementBatch__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"c2g__AccountHealthMeasurementBatch__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"c2g__AccountHealthMeasurementLog__c","c2g__AccountHealthMeasurementBatch__c","c2g__AccountHealthMeasurementBatch__r","Lookup","c2g__AccountHealthMeasurementBatch__c","ReferenceTo","Master-Detail(Account Health Measurement Batch)"
"c2g__AccountHealthMeasurementLog__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountHealthMeasurementLog__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountHealthMeasurementLog__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"c2g__AccountHealthMeasurementLog__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"c2g__AccountingBook__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingBook__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingBook__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"c2g__AccountingBook__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"c2g__AccountingBook__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"c2g__AccountingBook__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"c2g__AccountingLocalizationSettings__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingLocalizationSettings__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingLocalizationSettings__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"c2g__AccountingLocalizationSettings__c","SetupOwnerId","SetupOwner","Lookup","Organization","ReferenceTo","Lookup(Organization,Profile,User)"
"c2g__AccountingLocalizationSettings__c","SetupOwnerId","SetupOwner","Lookup","Profile","ReferenceTo","Lookup(Organization,Profile,User)"
"c2g__AccountingLocalizationSettings__c","SetupOwnerId","SetupOwner","Lookup","User","ReferenceTo","Lookup(Organization,Profile,User)"
"c2g__AccountingLocalizationSettings__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
"c2g__AccountingSummarization__c","c2g__AccountCurrencyCodeID__c","c2g__AccountCurrencyCodeID__r","Lookup","c2g__codaAccountingCurrency__c","ReferenceTo","Lookup(Accounting Currency)"
"c2g__AccountingSummarization__c","c2g__AccountID__c","c2g__AccountID__r","Lookup","Account","ReferenceTo","Lookup(Account)"
"c2g__AccountingSummarization__c","c2g__AccountingCurrencyID__c","c2g__AccountingCurrencyID__r","Lookup","c2g__codaAccountingCurrency__c","ReferenceTo","Lookup(Accounting Currency)"
"c2g__AccountingSummarization__c","c2g__CashEntryID__c","c2g__CashEntryID__r","Lookup","c2g__codaCashEntry__c","ReferenceTo","Lookup(Cash Entry)"
"c2g__AccountingSummarization__c","c2g__Dimension1ID__c","c2g__Dimension1ID__r","Lookup","c2g__codaDimension1__c","ReferenceTo","Lookup(Dimension 1)"
"c2g__AccountingSummarization__c","c2g__Dimension2ID__c","c2g__Dimension2ID__r","Lookup","c2g__codaDimension2__c","ReferenceTo","Lookup(Dimension 2)"
"c2g__AccountingSummarization__c","c2g__Dimension3ID__c","c2g__Dimension3ID__r","Lookup","c2g__codaDimension3__c","ReferenceTo","Lookup(Dimension 3)"
"c2g__AccountingSummarization__c","c2g__Dimension4ID__c","c2g__Dimension4ID__r","Lookup","c2g__codaDimension4__c","ReferenceTo","Lookup(Dimension 4)"
"c2g__AccountingSummarization__c","c2g__DocumentCurrencyCodeID__c","c2g__DocumentCurrencyCodeID__r","Lookup","c2g__codaAccountingCurrency__c","ReferenceTo","Lookup(Accounting Currency)"
"c2g__AccountingSummarization__c","c2g__DualCurrencyCodeID__c","c2g__DualCurrencyCodeID__r","Lookup","c2g__codaAccountingCurrency__c","ReferenceTo","Lookup(Accounting Currency)"
"c2g__AccountingSummarization__c","c2g__GeneralLedgerAccountID__c","c2g__GeneralLedgerAccountID__r","Lookup","c2g__codaGeneralLedgerAccount__c","ReferenceTo","Lookup(General Ledger Account)"
"c2g__AccountingSummarization__c","c2g__HomeCurrencyCodeID__c","c2g__HomeCurrencyCodeID__r","Lookup","c2g__codaAccountingCurrency__c","ReferenceTo","Lookup(Accounting Currency)"
"c2g__AccountingSummarization__c","c2g__JournalID__c","c2g__JournalID__r","Lookup","c2g__codaJournal__c","ReferenceTo","Lookup(Journal)"
"c2g__AccountingSummarization__c","c2g__OwnerCompanyID__c","c2g__OwnerCompanyID__r","Lookup","c2g__codaCompany__c","ReferenceTo","Lookup(Accounting Company)"
"c2g__AccountingSummarization__c","c2g__PayableCreditNoteID__c","c2g__PayableCreditNoteID__r","Lookup","c2g__codaPurchaseCreditNote__c","ReferenceTo","Lookup(Payable Credit Note)"
"c2g__AccountingSummarization__c","c2g__PayableInvoiceID__c","c2g__PayableInvoiceID__r","Lookup","c2g__codaPurchaseInvoice__c","ReferenceTo","Lookup(Payable Invoice)"
"c2g__AccountingSummarization__c","c2g__PeriodID__c","c2g__PeriodID__r","Lookup","c2g__codaPeriod__c","ReferenceTo","Lookup(Period)"
"c2g__AccountingSummarization__c","c2g__ProductID__c","c2g__ProductID__r","Lookup","Product2","ReferenceTo","Lookup(Product)"
"c2g__AccountingSummarization__c","c2g__SalesCreditNoteID__c","c2g__SalesCreditNoteID__r","Lookup","c2g__codaCreditNote__c","ReferenceTo","Lookup(Sales Credit Note)"
"c2g__AccountingSummarization__c","c2g__SalesInvoiceID__c","c2g__SalesInvoiceID__r","Lookup","c2g__codaInvoice__c","ReferenceTo","Lookup(Sales Invoice)"
"c2g__AccountingSummarization__c","c2g__SummarizationTemplateID__c","c2g__SummarizationTemplateID__r","Lookup","c2g__SummarizationTemplate__c","ReferenceTo","Lookup(zDeprecated:Summarization Template)"
"c2g__AccountingSummarization__c","c2g__TransactionID__c","c2g__TransactionID__r","Lookup","c2g__codaTransaction__c","ReferenceTo","Lookup(Transaction)"
"c2g__AccountingSummarization__c","c2g__TransactionLineItemID__c","c2g__TransactionLineItemID__r","Lookup","c2g__codaTransactionLineItem__c","ReferenceTo","Lookup(Transaction Line Item)"
"c2g__AccountingSummarization__c","c2g__UserID__c","c2g__UserID__r","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingSummarization__c","CreatedById","CreatedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingSummarization__c","LastModifiedById","LastModifiedBy","Lookup","User","ReferenceTo","Lookup(User)"
"c2g__AccountingSummarization__c","OwnerId","Owner","Lookup","Group","ReferenceTo","Lookup(User,Group)"
"c2g__AccountingSummarization__c","OwnerId","Owner","Lookup","User","ReferenceTo","Lookup(User,Group)"
"c2g__AccountingSummarization__c","RecordVisibilityId","RecordVisibility","Lookup","Record Visibility","DataType","Lookup(Record Visibility)"
"c2g__AccountingSummarization__c","UserRecordAccessId","UserRecordAccess","Lookup","UserRecordAccess","ReferenceTo","Lookup(User Record Access)"
