"api_name","category"
"APXTConga4__Conga_Solution_Email_Template__c","custom"
"APXTConga4__Conga_Solution_Email_Template__ChangeEvent","standard"
"APXTConga4__Conga_Solution_Export_Environment__mdt","custom"
"APXTConga4__Conga_Solution_Export_Setting__mdt","custom"
"APXTConga4__Conga_Solution_Parameter__c","custom"
"APXTConga4__Conga_Solution_Parameter__ChangeEvent","standard"
"APXTConga4__Conga_Solution_Query__c","custom"
"APXTConga4__Conga_Solution_Query__ChangeEvent","standard"
"APXTConga4__Conga_Solution_Report__c","custom"
"APXTConga4__Conga_Solution_Report__ChangeEvent","standard"
"APXTConga4__Conga_Solution_Template__c","custom"
"APXTConga4__Conga_Solution_Template__ChangeEvent","standard"
"APXTConga4__Conga_Solutions_Settings__c","custom"
"APXTConga4__Conga_Solutions_Settings__ChangeEvent","standard"
"APXTConga4__Conga_Template__c","custom"
"APXTConga4__Conga_Template__ChangeEvent","standard"
"APXTConga4__Conga_Template__Share","standard"
"APXTConga4__Connected_App_Setting__mdt","custom"
"APXTConga4__Document_History__c","custom"
"APXTConga4__Document_History__ChangeEvent","standard"
"APXTConga4__Document_History__Share","standard"
"APXTConga4__Document_History_Detail__c","custom"
"APXTConga4__Document_History_Detail__ChangeEvent","standard"
"APXTConga4__EventData__c","custom"
"APXTConga4__EventData__ChangeEvent","standard"
"APXTConga4__EventData__Share","standard"
"APXTConga4__VersionedData__c","custom"
"APXTConga4__VersionedData__ChangeEvent","standard"
"APXTConga4__VersionedData__Share","standard"
"Asset","standard"
"AssetChangeEvent","standard"
"AssetFeed","standard"
"AssetHistory","standard"
"AssetRelationship","standard"
"AssetRelationshipChangeEvent","standard"
"AssetRelationshipFeed","standard"
"AssetRelationshipHistory","standard"
"AssetShare","standard"
"AssetTokenEvent","standard"
"AssignmentRule","standard"
"AssociatedLocation","standard"
"AssociatedLocationChangeEvent","standard"
"AssociatedLocationHistory","standard"
"AsyncApexJob","standard"
"AsyncOperationEvent","standard"
"AsyncOperationStatus","standard"
"AttachedContentDocument","standard"
"AttachedContentNote","standard"
"Attachment","standard"
"AuraDefinition","standard"
"AuraDefinitionBundle","standard"
"AuraDefinitionBundleInfo","standard"
"AuraDefinitionInfo","standard"
"AuthConfig","standard"
"AuthConfigProviders","standard"
"AuthorizationForm","standard"
"AuthorizationFormChangeEvent","standard"
"AuthorizationFormConsent","standard"
"AuthorizationFormConsentChangeEvent","standard"
"AuthorizationFormConsentHistory","standard"
"AuthorizationFormConsentShare","standard"
"AuthorizationFormDataUse","standard"
"AuthorizationFormDataUseChangeEvent","standard"
"AuthorizationFormDataUseHistory","standard"
"AuthorizationFormDataUseShare","standard"
"AuthorizationFormHistory","standard"
"AuthorizationFormShare","standard"
"AuthorizationFormText","standard"
"AuthorizationFormTextChangeEvent","standard"
"AuthorizationFormTextFeed","standard"
"AuthorizationFormTextHistory","standard"
"AuthProvider","standard"
"AuthProvParamFwdAllowlist","standard"
"AuthSession","standard"
"BackgroundOperation","standard"
"Bank_Format_Constant__c","custom"
