rank,flow_developer_name,score,process_type,version_number,trigger_object,trigger_type,entry_criteria_summary,decision_count,action_call_count,record_create_count,record_update_count,record_delete_count,record_lookup_count,external_candidate_touchpoint_count
197,FFX_FAMAddDepreciationToFixedAsset,1,Flow,1,,,varFixedAssetStatus EqualTo New; varFixedAssetStatus EqualTo Recalled; varFixedAssetStatus EqualTo Rejected; varFixedAssetStatus EqualTo Submitted; varFixedAssetStatus EqualTo Approved; varFixedAssetStatus EqualTo Active,6,0,3,2,2,6,0
198,FFXSCM_Update_SCM_Transaction_with_PO_details,1,AutoLaunchedFlow,3,c2g__codaTransactionLineItem__c,RecordAfterSave,(or) FFX_PO__c IsNull true; FFX_PO__c EqualTo,14,0,0,1,0,3,0
199,Display_Tasks,1,Flow,4,,,Get_Account IsNull False,1,0,0,1,0,2,0
200,Delete_Product_Groups_when_Product_is_Deleted,1,AutoLaunchedFlow,2,Product2,RecordBeforeDelete,Get_Linked_Product_Groups IsNull False,1,0,0,0,1,1,0
201,Deal_Summary_Checker,1,AutoLaunchedFlow,2,,,$Permission.MACD_UAT_Group EqualTo True,1,0,0,2,0,0,0
202,Customer_Account_Check,1,AutoLaunchedFlow,5,,,Get_Account.Customer_Status__c EqualTo Customer,8,0,0,5,0,5,0
203,Child_Assets_To_Update_From_Parent_Asset,1,AutoLaunchedFlow,3,Asset,RecordAfterSave,(or) Site__c IsChanged true; Site_Address__c IsChanged true; Site_Account__c IsChanged true; Location_at_Site__c IsChanged true,0,0,0,1,0,1,0
204,Asset_Labelling,1,AutoLaunchedFlow,4,Asset,RecordAfterSave,(and) Name EqualTo -,1,0,0,1,0,1,0
205,Approve_Pricing_Request,1,Flow,1,,,Would_you_like_to_approve_reject_or_update EqualTo Approve; Would_you_like_to_approve_reject_or_update EqualTo Reject,1,0,0,4,0,2,0
206,Add_Account_Team_Member_to_Account,1,AutoLaunchedFlow,1,AccountTeamMember,RecordAfterSave,Get_The_Account.Account_Team_Names__c Contains $Record.User.Alias,1,0,0,1,0,1,0
207,Account_Asset_Moves,1,Flow,3,,,locationId EqualTo,4,0,6,1,0,5,0
208,Account_Asset_Disposals,1,Flow,16,,,collectionPrintCount GreaterThan 0; collectionDWCount GreaterThan 0; collectionPrintCount GreaterThan 0,4,0,12,2,0,6,0
209,AGILYX_Set_Task_Collections_Info_to_TLI_Autolaunched,1,AutoLaunchedFlow,7,Task,,transactionMultipleUpdate Contains Loop_Filter,1,0,0,1,0,1,0
210,Update_Supplier_Record_Type,0,AutoLaunchedFlow,3,SCMC__Supplier_Site__c,RecordAfterSave,,0,0,0,1,0,0,0
211,Update_Quote_Delivery,0,AutoLaunchedFlow,2,Quote,RecordAfterSave,,0,0,0,1,0,1,0
212,Update_Asset_Record,0,AutoLaunchedFlow,1,Asset,RecordBeforeSave,,0,0,0,1,0,0,0
213,Transform_Customer_Address,0,AutoLaunchedFlow,1,Location,RecordAfterSave,,0,0,1,1,0,0,0
214,Submit_to_Pricing_Team,0,Flow,2,,,,0,0,2,1,0,0,0
215,Start_Authentication,0,Flow,6,,,,0,0,0,0,0,0,0
216,Split_Deal_Revenue,0,Flow,1,,,,0,0,0,1,0,2,0
217,Set_Snapshot_Currency,0,AutoLaunchedFlow,1,Opportunity_Snapshot__c,RecordBeforeSave,,0,0,0,0,0,0,0
218,Set_Item_Name,0,AutoLaunchedFlow,3,SCMC__Item__c,RecordBeforeSave,,0,0,0,0,0,0,0
219,Set_Hard_Call_Screen,0,Flow,2,,,,0,0,0,1,0,0,0
220,Set_Hard_Call,0,AutoLaunchedFlow,1,,,,0,0,0,1,0,0,0
221,Remove_Account_Team_Member_from_Account,0,AutoLaunchedFlow,1,AccountTeamMember,RecordBeforeDelete,,0,0,0,1,0,2,0
222,Non_Customer_Reallocation_Flow,0,Flow,7,,,,0,0,0,0,0,1,0
223,New_Location_Screen_Flow,0,Flow,3,,,,0,0,1,0,0,2,0
224,Install_Analyst_Text,0,Flow,1,,,,0,0,0,0,0,4,0
225,ION_Update_SO_with_FFA_Cmp_Name_from_Warehouse,0,AutoLaunchedFlow,1,,,,0,0,0,1,0,4,0
226,ION_Update_PO_with_SF_Exchange_Rate,0,AutoLaunchedFlow,1,,,,0,0,0,1,0,3,0
227,ION_Update_PO_with_FFA_Cmp_Name_from_Warehouse,0,AutoLaunchedFlow,1,,,,0,0,0,1,0,4,0
228,End_Authentication,0,Flow,6,,,,0,0,0,0,0,0,0
229,Deal_Checklist,0,Flow,1,,,,0,0,0,2,0,1,0
230,Data_Garage_Assign_Account_to_Sales,0,AutoLaunchedFlow,2,,,,0,0,0,1,0,1,0
231,Create_Location_Subflow,0,AutoLaunchedFlow,2,,,,0,0,1,0,0,1,0
232,Contact_Removal,0,Flow,1,,,,0,0,0,1,0,1,0
233,Companies_House_Flow,0,Flow,29,,,,0,0,0,0,0,0,0
234,Checklist_Screen,0,Flow,1,,,,0,0,0,0,0,1,0
235,Asset_Number_Generator,0,Flow,1,,,,0,0,0,0,0,0,0
