rank,flow_developer_name,score,process_type,version_number,trigger_object,trigger_type,entry_criteria_summary,decision_count,action_call_count,record_create_count,record_update_count,record_delete_count,record_lookup_count,external_candidate_touchpoint_count
82,Create_Delivery_Line_Item_on_Creation,31,AutoLaunchedFlow,5,Opportunity,RecordAfterSave,(and) Lines_Of_Business__c IsNull false,2,0,1,1,0,1,0
83,Checklist_Update,31,AutoLaunchedFlow,2,Opportunity,RecordAfterSave,(or) Lines_Of_Business__c IsChanged true,1,0,1,0,1,2,0
84,Checklist_Creation,31,AutoLaunchedFlow,8,Opportunity,RecordAfterSave,(and) Lines_Of_Business__c IsNull false,0,0,1,0,0,1,0
85,Check_for_Approved_Products,31,AutoLaunchedFlow,3,Opportunity,,Loop_Products.Product2.Approval_Status__c NotEqualTo Approved,1,0,0,0,0,1,0
86,Add_files_to_SOs,31,AutoLaunchedFlow,16,SCMC__Sales_Order__c,RecordAfterSave,(and) link_Opp2SO_Id__c IsNull false,2,0,1,0,0,2,0
87,Set_Primary_Sales_Rep,30,AutoLaunchedFlow,1,SCMC__Sales_Order__c,RecordAfterSave,,0,0,0,1,0,0,0
88,Opportunity_Dispose_Asset_Generator,27,Flow,16,MACD_Line_Item__c,,Would_you_like_to_update_current_disposals_or_add_a_new_disposal EqualTo New_Disposal,9,0,3,4,2,10,0
89,Update_Commission_Sales_Invoice,27,AutoLaunchedFlow,2,c2g__codaInvoice__c,RecordAfterSave,(and) c2g__Transaction__c NotEqualTo; SCMFFA__SCM_Invoice__c NotEqualTo,1,0,0,1,0,1,0
90,Delete_Commissions_Opp_Line,27,AutoLaunchedFlow,1,OpportunityLineItem,RecordBeforeDelete,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28,2,0,0,0,1,1,0
91,Account_Check_Schedule,26,AutoLaunchedFlow,4,Account,Scheduled,(and) Record_Type__c EqualTo Customer,0,0,0,0,0,0,0
92,Update_Opportunity_Quantity,26,AutoLaunchedFlow,4,OpportunityLineItem,RecordAfterSave,,0,0,0,1,0,1,0
93,X0_VAT_Lines,24,AutoLaunchedFlow,3,SCMC__Purchase_Order__c,RecordAfterSave,(and) X0_VAT__c EqualTo true,0,0,0,1,0,1,0
94,Update_VAT_PO_lines,24,AutoLaunchedFlow,12,SCMC__Purchase_Order_Line_Item__c,RecordBeforeSave,$Record.SCMC__Purchase_Order__r.X0_VAT__c EqualTo True,1,0,0,0,0,0,0
95,Purchase_Order_Number_Stamp,24,AutoLaunchedFlow,3,SCMC__Purchase_Order__c,RecordAfterSave,(and) SCMC__Sales_Order__c NotEqualTo,0,0,0,1,0,1,0
96,Update_POLI_on_Creation,21,AutoLaunchedFlow,5,SCMC__Purchase_Order_Line_Item__c,RecordBeforeSave,$Record.SCMC__Purchase_Order__r.RecordType.Name EqualTo Internal Purchase Order; $Record.SCMC__Purchase_Order__r.RecordType.Name EqualTo Drop Ship Purchase Order,2,0,0,0,0,0,0
97,Set_Rollout_Quantity_Intangible,21,AutoLaunchedFlow,1,OpportunityLineItem,RecordAfterSave,$Record.ProductCode EqualTo PS-EXT-MPS; $Record.ProductCode EqualTo GP - MP,1,0,0,1,0,0,0
98,Set_Product_Condition,21,AutoLaunchedFlow,4,OpportunityLineItem,RecordAfterSave,$Record.Product_Condition__c EqualTo New; $Record.Product_Condition__c EqualTo Refurbished,1,0,0,3,0,0,0
99,Remove_Product_Lines,21,Flow,8,OpportunityLineItem,,productType EqualTo Parent; productType EqualTo Accessory,1,0,1,0,1,0,0
100,Create_SO_Lines,21,AutoLaunchedFlow,5,OpportunityLineItem,,opportunityLines IsNull False,3,0,1,1,0,1,0
101,Check_and_populate_PO_number,21,AutoLaunchedFlow,1,c2g__codaInvoice__c,RecordBeforeSave,(or) c2g__CustomerReference__c IsNull true; c2g__CustomerReference__c EqualTo,1,0,0,1,0,0,0
102,Assign_PO_Values_from_SO,21,AutoLaunchedFlow,5,SCMC__Purchase_Order__c,RecordBeforeSave,$Record.RecordType.Name EqualTo Drop Ship Purchase Order; $Record.SCMC__Override_Ship_to_Address__c IsNull False; $Record.RecordType.Name EqualTo Drop Ship Purchase Order; $Record.SCMC__Override_Ship_to_Address__c IsNull True,1,0,0,0,0,0,0
103,Opportunity_Subflow_Asset_MACD_Generator,19,AutoLaunchedFlow,1,MACD_Line_Item__c,,,0,0,2,0,0,2,0
104,Update_Commission_Opp_Split,17,AutoLaunchedFlow,4,OpportunitySplit,RecordAfterSave,(or) SplitPercentage IsChanged true; Department__c IsChanged true,1,0,0,1,0,2,0
105,MACD_Attach_Opp_Documents,17,AutoLaunchedFlow,1,MACD__c,RecordAfterSave,Filter_for_Existing_Documents IsNull True; Filter_for_Existing_Documents IsEmpty True,2,0,1,0,0,2,0
106,Update_Last_Active_Date,16,AutoLaunchedFlow,15,Account,Scheduled,(and) RecordTypeId EqualTo 0124K000000gpI5QAI,3,0,0,0,0,2,0
107,Update_Account_for_Assets,16,AutoLaunchedFlow,4,Account,RecordBeforeSave,Get_Assets IsNull False,1,0,0,0,0,1,0
108,Set_Same_Shipping_Address,16,AutoLaunchedFlow,1,Account,RecordAfterSave,(and) Billing_Shipping_Address__c EqualTo true,0,0,0,1,0,0,0
109,Set_Account_Hierarchy,16,AutoLaunchedFlow,2,Account,RecordBeforeSave,Get_Parent_Account IsNull False,2,0,0,0,0,1,0
110,Schedule_Account_Supplier_Updates,16,AutoLaunchedFlow,3,Account,Scheduled,(and) RecordTypeId EqualTo 0124K000000gpIAQAY,0,0,0,1,0,2,0
111,FFX_Set_Account_Trading_Currency,16,AutoLaunchedFlow,1,Account,RecordAfterSave,(and) c2g__CODAAccountTradingCurrency__c IsNull true,0,0,0,1,0,0,0
112,FFX_Account,16,AutoLaunchedFlow,5,Account,RecordAfterSave,(and) FFX_CaseSafeAccountID__c EqualTo,0,0,0,1,0,0,0
113,Data_Garage_Return_Non_Active_Accounts_to_Garage,16,AutoLaunchedFlow,1,Account,Scheduled,(and) Reallocated_Time_Stamp__c IsNull false,3,0,0,1,0,2,0
114,Data_Garage_Assign_Account_to_Sales_Multi_Assignment,16,Flow,1,Account,,Cancel_Changes EqualTo True,2,0,0,1,0,1,0
115,Credit_Safe_Bypass_Tracking,16,AutoLaunchedFlow,1,Account,RecordBeforeSave,(and) Bypass_Creditsafe__c EqualTo true,0,0,0,1,0,0,0
