"source_object","target_object","relationship_field_count","fields"
"APXT_BPM__Conductor__c","Group","1","OwnerId"
"APXT_BPM__Conductor__c","Record Visibility","1","RecordVisibilityId"
"APXT_BPM__Conductor__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXT_BPM__Conductor__c","UserRecordAccess","1","UserRecordAccessId"
"APXT_BPM__Conductor_Setting__mdt","APXT_BPM__Conductor_Region__mdt","1","APXT_BPM__Conductor_Region__c"
"APXT_BPM__Scheduled_Conductor_History__c","APXT_BPM__Conductor__c","1","APXT_BPM__Conga_Conductor__c"
"APXT_BPM__Scheduled_Conductor_History__c","Group","1","OwnerId"
"APXT_BPM__Scheduled_Conductor_History__c","Record Visibility","1","RecordVisibilityId"
"APXT_BPM__Scheduled_Conductor_History__c","User","4","APXT_BPM__Ran_as__c;CreatedById;LastModifiedById;OwnerId"
"APXT_BPM__Scheduled_Conductor_History__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_Host_Override__c","Group","1","OwnerId"
"APXTConga4__Composer_Host_Override__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Composer_Host_Override__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Composer_Host_Override__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_QuickMerge__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Composer_QuickMerge__c","Group","1","OwnerId"
"APXTConga4__Composer_QuickMerge__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Composer_QuickMerge__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Composer_QuickMerge__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Composer_Setting__mdt","APXTConga4__Connected_App_Setting__mdt","1","APXTConga4__Connected_App_Setting__c"
"APXTConga4__Conga_Collection__c","Group","1","OwnerId"
"APXTConga4__Conga_Collection__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Collection__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Collection__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Collection_Solution__c","APXTConga4__Conga_Collection__c","1","APXTConga4__Conga_Collection__c"
"APXTConga4__Conga_Collection_Solution__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Collection_Solution__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Collection_Solution__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Collection_Solution__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Composer_Settings__c","Organization","1","SetupOwnerId"
"APXTConga4__Conga_Composer_Settings__c","Profile","1","SetupOwnerId"
"APXTConga4__Conga_Composer_Settings__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Composer_Settings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"APXTConga4__Conga_Composer_Settings__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Email_Staging__c","Group","1","OwnerId"
"APXTConga4__Conga_Email_Staging__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Email_Staging__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Email_Staging__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Email_Template__c","Group","1","OwnerId"
"APXTConga4__Conga_Email_Template__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Email_Template__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Email_Template__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Merge_Query__c","Group","1","OwnerId"
"APXTConga4__Conga_Merge_Query__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Merge_Query__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Merge_Query__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution__c","Group","1","OwnerId"
"APXTConga4__Conga_Solution__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Solution__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution_Email_Template__c","APXTConga4__Conga_Email_Template__c","1","APXTConga4__Conga_Email_Template__c"
"APXTConga4__Conga_Solution_Email_Template__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Solution_Email_Template__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution_Email_Template__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Solution_Email_Template__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution_Export_Setting__mdt","APXTConga4__Conga_Solution_Export_Environment__mdt","1","APXTConga4__Conga_Solution_Export_Environment__c"
"APXTConga4__Conga_Solution_Parameter__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Solution_Parameter__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution_Parameter__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Solution_Parameter__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution_Query__c","APXTConga4__Conga_Merge_Query__c","1","APXTConga4__Conga_Query__c"
"APXTConga4__Conga_Solution_Query__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Solution_Query__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution_Query__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Solution_Query__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution_Report__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Solution_Report__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution_Report__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Solution_Report__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solution_Template__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Conga_Solution_Template__c","APXTConga4__Conga_Template__c","1","APXTConga4__Conga_Template__c"
"APXTConga4__Conga_Solution_Template__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solution_Template__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Conga_Solution_Template__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Solutions_Settings__c","Organization","1","SetupOwnerId"
"APXTConga4__Conga_Solutions_Settings__c","Profile","1","SetupOwnerId"
"APXTConga4__Conga_Solutions_Settings__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Solutions_Settings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"APXTConga4__Conga_Solutions_Settings__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Conga_Template__c","Group","1","OwnerId"
"APXTConga4__Conga_Template__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Conga_Template__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Conga_Template__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Document_History__c","APXTConga4__Conga_Solution__c","1","APXTConga4__Conga_Solution__c"
"APXTConga4__Document_History__c","Group","1","OwnerId"
"APXTConga4__Document_History__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Document_History__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__Document_History__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__Document_History_Detail__c","APXTConga4__Document_History__c","1","APXTConga4__Document_History__c"
"APXTConga4__Document_History_Detail__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__Document_History_Detail__c","User","2","CreatedById;LastModifiedById"
"APXTConga4__Document_History_Detail__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__EventData__c","Group","1","OwnerId"
"APXTConga4__EventData__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__EventData__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__EventData__c","UserRecordAccess","1","UserRecordAccessId"
"APXTConga4__VersionedData__c","Group","1","OwnerId"
"APXTConga4__VersionedData__c","Record Visibility","1","RecordVisibilityId"
"APXTConga4__VersionedData__c","User","3","CreatedById;LastModifiedById;OwnerId"
"APXTConga4__VersionedData__c","UserRecordAccess","1","UserRecordAccessId"
"Bank_Format_Constant__c","c2g__codaBankAccount__c","1","Originating_Bank_Account__c"
"Bank_Format_Constant__c","Group","1","OwnerId"
"Bank_Format_Constant__c","Record Visibility","1","RecordVisibilityId"
"Bank_Format_Constant__c","User","3","CreatedById;LastModifiedById;OwnerId"
"Bank_Format_Constant__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountHealthMeasurementBatch__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__AccountHealthMeasurementBatch__c","Group","1","OwnerId"
"c2g__AccountHealthMeasurementBatch__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountHealthMeasurementBatch__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AccountHealthMeasurementBatch__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountHealthMeasurementLog__c","c2g__AccountHealthMeasurementBatch__c","1","c2g__AccountHealthMeasurementBatch__c"
"c2g__AccountHealthMeasurementLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountHealthMeasurementLog__c","User","2","CreatedById;LastModifiedById"
"c2g__AccountHealthMeasurementLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountingBook__c","Group","1","OwnerId"
"c2g__AccountingBook__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountingBook__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AccountingBook__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountingLocalizationSettings__c","Organization","1","SetupOwnerId"
"c2g__AccountingLocalizationSettings__c","Profile","1","SetupOwnerId"
"c2g__AccountingLocalizationSettings__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountingLocalizationSettings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"c2g__AccountingLocalizationSettings__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountingSummarization__c","Account","1","c2g__AccountID__c"
"c2g__AccountingSummarization__c","c2g__codaAccountingCurrency__c","5","c2g__AccountCurrencyCodeID__c;c2g__AccountingCurrencyID__c;c2g__DocumentCurrencyCodeID__c;c2g__DualCurrencyCodeID__c;c2g__HomeCurrencyCodeID__c"
"c2g__AccountingSummarization__c","c2g__codaCashEntry__c","1","c2g__CashEntryID__c"
"c2g__AccountingSummarization__c","c2g__codaCompany__c","1","c2g__OwnerCompanyID__c"
"c2g__AccountingSummarization__c","c2g__codaCreditNote__c","1","c2g__SalesCreditNoteID__c"
"c2g__AccountingSummarization__c","c2g__codaDimension1__c","1","c2g__Dimension1ID__c"
"c2g__AccountingSummarization__c","c2g__codaDimension2__c","1","c2g__Dimension2ID__c"
"c2g__AccountingSummarization__c","c2g__codaDimension3__c","1","c2g__Dimension3ID__c"
"c2g__AccountingSummarization__c","c2g__codaDimension4__c","1","c2g__Dimension4ID__c"
"c2g__AccountingSummarization__c","c2g__codaGeneralLedgerAccount__c","1","c2g__GeneralLedgerAccountID__c"
"c2g__AccountingSummarization__c","c2g__codaInvoice__c","1","c2g__SalesInvoiceID__c"
"c2g__AccountingSummarization__c","c2g__codaJournal__c","1","c2g__JournalID__c"
"c2g__AccountingSummarization__c","c2g__codaPeriod__c","1","c2g__PeriodID__c"
"c2g__AccountingSummarization__c","c2g__codaPurchaseCreditNote__c","1","c2g__PayableCreditNoteID__c"
"c2g__AccountingSummarization__c","c2g__codaPurchaseInvoice__c","1","c2g__PayableInvoiceID__c"
"c2g__AccountingSummarization__c","c2g__codaTransaction__c","1","c2g__TransactionID__c"
"c2g__AccountingSummarization__c","c2g__codaTransactionLineItem__c","1","c2g__TransactionLineItemID__c"
"c2g__AccountingSummarization__c","c2g__SummarizationTemplate__c","1","c2g__SummarizationTemplateID__c"
"c2g__AccountingSummarization__c","Group","1","OwnerId"
"c2g__AccountingSummarization__c","Product2","1","c2g__ProductID__c"
"c2g__AccountingSummarization__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountingSummarization__c","User","4","c2g__UserID__c;CreatedById;LastModifiedById;OwnerId"
"c2g__AccountingSummarization__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountingSummarization2__c","Account","1","c2g__AccountID__c"
"c2g__AccountingSummarization2__c","c2g__codaAccountingCurrency__c","5","c2g__AccountCurrencyCodeID__c;c2g__AccountingCurrencyID__c;c2g__DocumentCurrencyCodeID__c;c2g__DualCurrencyCodeID__c;c2g__HomeCurrencyCodeID__c"
"c2g__AccountingSummarization2__c","c2g__codaCashEntry__c","1","c2g__CashEntryID__c"
"c2g__AccountingSummarization2__c","c2g__codaCompany__c","1","c2g__OwnerCompanyID__c"
"c2g__AccountingSummarization2__c","c2g__codaCreditNote__c","1","c2g__SalesCreditNoteID__c"
"c2g__AccountingSummarization2__c","c2g__codaDimension1__c","1","c2g__Dimension1ID__c"
"c2g__AccountingSummarization2__c","c2g__codaDimension2__c","1","c2g__Dimension2ID__c"
"c2g__AccountingSummarization2__c","c2g__codaDimension3__c","1","c2g__Dimension3ID__c"
"c2g__AccountingSummarization2__c","c2g__codaDimension4__c","1","c2g__Dimension4ID__c"
"c2g__AccountingSummarization2__c","c2g__codaGeneralLedgerAccount__c","1","c2g__GeneralLedgerAccountID__c"
"c2g__AccountingSummarization2__c","c2g__codaInvoice__c","1","c2g__SalesInvoiceID__c"
"c2g__AccountingSummarization2__c","c2g__codaJournal__c","1","c2g__JournalID__c"
"c2g__AccountingSummarization2__c","c2g__codaPeriod__c","1","c2g__PeriodID__c"
"c2g__AccountingSummarization2__c","c2g__codaPurchaseCreditNote__c","1","c2g__PayableCreditNoteID__c"
"c2g__AccountingSummarization2__c","c2g__codaPurchaseInvoice__c","1","c2g__PayableInvoiceID__c"
"c2g__AccountingSummarization2__c","c2g__codaTransaction__c","1","c2g__TransactionID__c"
"c2g__AccountingSummarization2__c","c2g__codaTransactionLineItem__c","1","c2g__TransactionLineItemID__c"
"c2g__AccountingSummarization2__c","ffr__SummarizationTemplate__c","1","c2g__SummarizationTemplateID__c"
"c2g__AccountingSummarization2__c","Group","1","OwnerId"
"c2g__AccountingSummarization2__c","Product2","1","c2g__ProductID__c"
"c2g__AccountingSummarization2__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountingSummarization2__c","User","4","c2g__UserID__c;CreatedById;LastModifiedById;OwnerId"
"c2g__AccountingSummarization2__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountSettings__c","Organization","1","SetupOwnerId"
"c2g__AccountSettings__c","Profile","1","SetupOwnerId"
"c2g__AccountSettings__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountSettings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"c2g__AccountSettings__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AccountTypeSettings__c","Organization","1","SetupOwnerId"
"c2g__AccountTypeSettings__c","Profile","1","SetupOwnerId"
"c2g__AccountTypeSettings__c","Record Visibility","1","RecordVisibilityId"
"c2g__AccountTypeSettings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"c2g__AccountTypeSettings__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__Allocation__c","c2g__AllocationTemplate__c","1","c2g__AllocationTemplate__c"
"c2g__Allocation__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__Allocation__c","c2g__codaPeriod__c","3","c2g__PeriodFrom__c;c2g__PeriodTo__c;c2g__PostingPeriod__c"
"c2g__Allocation__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__Allocation__c","Group","1","OwnerId"
"c2g__Allocation__c","Record Visibility","1","RecordVisibilityId"
"c2g__Allocation__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__Allocation__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationFilter__c","Account","1","c2g__Account__c"
"c2g__AllocationFilter__c","c2g__AllocationFilterStructure__c","1","c2g__AllocationFilterStructure__c"
"c2g__AllocationFilter__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__AllocationFilter__c","c2g__codaDimension1__c","1","c2g__Dimension1__c"
"c2g__AllocationFilter__c","c2g__codaDimension2__c","1","c2g__Dimension2__c"
"c2g__AllocationFilter__c","c2g__codaDimension3__c","1","c2g__Dimension3__c"
"c2g__AllocationFilter__c","c2g__codaDimension4__c","1","c2g__Dimension4__c"
"c2g__AllocationFilter__c","c2g__codaGeneralLedgerAccount__c","2","c2g__GeneralLedgerAccount__c;c2g__LocalGLA__c"
"c2g__AllocationFilter__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationFilter__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocationFilter__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationFilterStructure__c","c2g__AllocationTemplate__c","1","c2g__AllocationTemplate__c"
"c2g__AllocationFilterStructure__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationFilterStructure__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocationFilterStructure__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationLog__c","c2g__Allocation__c","1","c2g__Allocation__c"
"c2g__AllocationLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationLog__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocationLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationRule__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__AllocationRule__c","c2g__StatisticalBasis__c","1","c2g__StatisticalBasis__c"
"c2g__AllocationRule__c","Group","1","OwnerId"
"c2g__AllocationRule__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationRule__c","RecordType","1","RecordTypeId"
"c2g__AllocationRule__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocationRule__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationSchedule__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__AllocationSchedule__c","Group","1","OwnerId"
"c2g__AllocationSchedule__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationSchedule__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocationSchedule__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationScheduleCompany__c","c2g__AllocationSchedule__c","1","c2g__AllocationSchedule__c"
"c2g__AllocationScheduleCompany__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__AllocationScheduleCompany__c","Group","1","OwnerId"
"c2g__AllocationScheduleCompany__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationScheduleCompany__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocationScheduleCompany__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationScheduleLog__c","c2g__AllocationSchedule__c","1","c2g__AllocationSchedule__c"
"c2g__AllocationScheduleLog__c","Group","1","OwnerId"
"c2g__AllocationScheduleLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationScheduleLog__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocationScheduleLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationScheduleTemplate__c","c2g__AllocationSchedule__c","1","c2g__AllocationSchedule__c"
"c2g__AllocationScheduleTemplate__c","c2g__AllocationTemplate__c","1","c2g__AllocationTemplate__c"
"c2g__AllocationScheduleTemplate__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationScheduleTemplate__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocationScheduleTemplate__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationSplitTemplate__c","c2g__AllocationTemplate__c","1","c2g__AllocationTemplate__c"
"c2g__AllocationSplitTemplate__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__AllocationSplitTemplate__c","c2g__codaDimension1__c","1","c2g__Dimension1__c"
"c2g__AllocationSplitTemplate__c","c2g__codaDimension2__c","1","c2g__Dimension2__c"
"c2g__AllocationSplitTemplate__c","c2g__codaDimension3__c","1","c2g__Dimension3__c"
"c2g__AllocationSplitTemplate__c","c2g__codaDimension4__c","1","c2g__Dimension4__c"
"c2g__AllocationSplitTemplate__c","c2g__codaGeneralLedgerAccount__c","3","c2g__GeneralLedgerAccount__c;c2g__GeneralLedgerAccountAll__c;c2g__LocalGLA__c"
"c2g__AllocationSplitTemplate__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationSplitTemplate__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocationSplitTemplate__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocationTemplate__c","c2g__AllocationRule__c","1","c2g__AllocationRule__c"
"c2g__AllocationTemplate__c","c2g__codaCompany__c","1","c2g__DestinationCompany__c"
"c2g__AllocationTemplate__c","c2g__StatisticalBasis__c","1","c2g__StatisticalBasis__c"
"c2g__AllocationTemplate__c","Group","1","OwnerId"
"c2g__AllocationTemplate__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocationTemplate__c","RecordType","1","RecordTypeId"
"c2g__AllocationTemplate__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocationTemplate__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocSchedule__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__AllocSchedule__c","Group","1","OwnerId"
"c2g__AllocSchedule__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocSchedule__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocSchedule__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocScheduleCompany__c","c2g__AllocSchedule__c","1","c2g__AllocSchedule__c"
"c2g__AllocScheduleCompany__c","c2g__codaCompany__c","1","c2g__Company__c"
"c2g__AllocScheduleCompany__c","Group","1","OwnerId"
"c2g__AllocScheduleCompany__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocScheduleCompany__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocScheduleCompany__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocScheduleLog__c","c2g__AllocSchedule__c","1","c2g__AllocSchedule__c"
"c2g__AllocScheduleLog__c","c2g__AllocScheduleRun__c","1","c2g__AllocScheduleRun__c"
"c2g__AllocScheduleLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocScheduleLog__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocScheduleLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocScheduleRun__c","Group","1","OwnerId"
"c2g__AllocScheduleRun__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocScheduleRun__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AllocScheduleRun__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocScheduleRunTransaction__c","c2g__Allocation__c","1","c2g__Allocation__c"
"c2g__AllocScheduleRunTransaction__c","c2g__AllocScheduleRun__c","1","c2g__AllocScheduleRun__c"
"c2g__AllocScheduleRunTransaction__c","c2g__codaJournal__c","1","c2g__Journal__c"
"c2g__AllocScheduleRunTransaction__c","c2g__codaTransaction__c","1","c2g__Transaction__c"
"c2g__AllocScheduleRunTransaction__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocScheduleRunTransaction__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocScheduleRunTransaction__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AllocScheduleTemplate__c","c2g__AllocationTemplate__c","1","c2g__AllocationTemplate__c"
"c2g__AllocScheduleTemplate__c","c2g__AllocSchedule__c","1","c2g__AllocSchedule__c"
"c2g__AllocScheduleTemplate__c","Record Visibility","1","RecordVisibilityId"
"c2g__AllocScheduleTemplate__c","User","2","CreatedById;LastModifiedById"
"c2g__AllocScheduleTemplate__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchiveSet__c","c2g__codaCompany__c","1","c2g__OwnerCompany__c"
"c2g__ArchiveSet__c","c2g__codaPeriod__c","2","c2g__FromPeriod__c;c2g__ToPeriod__c"
"c2g__ArchiveSet__c","c2g__codaYear__c","1","c2g__Year__c"
"c2g__ArchiveSet__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__ArchiveSet__c","Group","1","OwnerId"
"c2g__ArchiveSet__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchiveSet__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__ArchiveSet__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchiveSetFilter__c","c2g__ArchiveSetFilterStructure__c","1","c2g__ArchiveSetFilterStructure__c"
"c2g__ArchiveSetFilter__c","c2g__codaPeriod__c","1","c2g__Period__c"
"c2g__ArchiveSetFilter__c","c2g__codaYear__c","1","c2g__Year__c"
"c2g__ArchiveSetFilter__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchiveSetFilter__c","User","2","CreatedById;LastModifiedById"
"c2g__ArchiveSetFilter__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchiveSetFilterStructure__c","c2g__ArchiveSet__c","1","c2g__ArchiveSet__c"
"c2g__ArchiveSetFilterStructure__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchiveSetFilterStructure__c","User","2","CreatedById;LastModifiedById"
"c2g__ArchiveSetFilterStructure__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchiveSetLog__c","c2g__ArchiveSet__c","1","c2g__ArchiveSet__c"
"c2g__ArchiveSetLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchiveSetLog__c","User","2","CreatedById;LastModifiedById"
"c2g__ArchiveSetLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchiveSetQuery__c","c2g__ArchiveSet__c","1","c2g__ArchiveSet__c"
"c2g__ArchiveSetQuery__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchiveSetQuery__c","User","2","CreatedById;LastModifiedById"
"c2g__ArchiveSetQuery__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__ArchivingSettings__c","Organization","1","SetupOwnerId"
"c2g__ArchivingSettings__c","Profile","1","SetupOwnerId"
"c2g__ArchivingSettings__c","Record Visibility","1","RecordVisibilityId"
"c2g__ArchivingSettings__c","User","3","CreatedById;LastModifiedById;SetupOwnerId"
"c2g__ArchivingSettings__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AsOfAging__c","c2g__codaCompany__c","1","c2g__OwnerCompany__c"
"c2g__AsOfAging__c","c2g__fflib_BatchProcess__c","1","c2g__BatchProcess__c"
"c2g__AsOfAging__c","Group","1","OwnerId"
"c2g__AsOfAging__c","Record Visibility","1","RecordVisibilityId"
"c2g__AsOfAging__c","User","3","CreatedById;LastModifiedById;OwnerId"
"c2g__AsOfAging__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AsOfAgingProcessLog__c","c2g__AsOfAging__c","1","c2g__AsOfAging__c"
"c2g__AsOfAgingProcessLog__c","Record Visibility","1","RecordVisibilityId"
"c2g__AsOfAgingProcessLog__c","User","2","CreatedById;LastModifiedById"
"c2g__AsOfAgingProcessLog__c","UserRecordAccess","1","UserRecordAccessId"
"c2g__AsOfAgingReportSettings__c","Organization","1","SetupOwnerId"
