rank,artifact_type,name,integration_score,primary_object,trigger_events,has_callout,has_rest_resource,has_invocable,async_patterns,soql_count,dml_keyword_count,touchpoint_count,summary,path
31,Class,TPSCheckerScheduler,16,,,N,N,N,Schedulable;Database.executeBatch,0,0,2,TPSCheckerScheduler: async=Schedulable;Database.executeBatch,config\apex-metadata-custom\classes\TPSCheckerScheduler.cls
32,Class,AutomaticCashMatching,12,,,N,N,N,,2,4,0,AutomaticCashMatching: utility/business logic class,config\apex-metadata-custom\classes\AutomaticCashMatching.cls
33,Class,QuoteSyncTestSuite,10,,,N,N,N,,24,54,0,QuoteSyncTestSuite: utility/business logic class,config\apex-metadata-custom\classes\QuoteSyncTestSuite.cls
34,Class,QuickLightningLookupController,8,,,N,N,N,,3,1,0,QuickLightningLookupController: utility/business logic class,config\apex-metadata-custom\classes\QuickLightningLookupController.cls
35,Class,ShowProductsController,4,,,N,N,N,,2,0,0,ShowProductsController: utility/business logic class,config\apex-metadata-custom\classes\ShowProductsController.cls
36,Class,ShowAssets,4,,,N,N,N,,2,0,0,ShowAssets: utility/business logic class,config\apex-metadata-custom\classes\ShowAssets.cls
37,Class,ShowAccessoriesManagedServices2Assign,4,,,N,N,N,,2,0,0,ShowAccessoriesManagedServices2Assign: utility/business logic class,config\apex-metadata-custom\classes\ShowAccessoriesManagedServices2Assign.cls
38,Class,ShippingLabelController,4,,,N,N,N,,2,0,0,ShippingLabelController: utility/business logic class,config\apex-metadata-custom\classes\ShippingLabelController.cls
39,Class,MassDeleteExtension,4,,,N,N,N,,0,2,0,MassDeleteExtension: utility/business logic class,config\apex-metadata-custom\classes\MassDeleteExtension.cls
40,Class,AccountUpdater,4,,,N,N,N,,1,1,0,AccountUpdater: utility/business logic class,config\apex-metadata-custom\classes\AccountUpdater.cls
41,Class,xerTransController,2,,,N,N,N,,1,0,0,xerTransController: utility/business logic class,config\apex-metadata-custom\classes\xerTransController.cls
42,Class,agxBankHoliday,2,,,N,N,N,,1,0,0,agxBankHoliday: utility/business logic class,config\apex-metadata-custom\classes\agxBankHoliday.cls
43,Class,DisableChatterDeleteDelegate,2,,,N,N,N,,1,0,0,DisableChatterDeleteDelegate: utility/business logic class,config\apex-metadata-custom\classes\DisableChatterDeleteDelegate.cls
44,Class,CommissionPaymentController,2,,,N,N,N,,1,0,0,CommissionPaymentController: utility/business logic class,config\apex-metadata-custom\classes\CommissionPaymentController.cls
45,Class,xerTransControllerTest,0,,,N,N,N,,1,0,0,xerTransControllerTest: utility/business logic class,config\apex-metadata-custom\classes\xerTransControllerTest.cls
46,Class,dlrs_c2godaInvoiceTest,0,,,N,N,N,,1,2,0,dlrs_c2godaInvoiceTest: utility/business logic class,config\apex-metadata-custom\classes\dlrs_c2godaInvoiceTest.cls
47,Class,dlrs_OpportunityTest,0,,,N,N,N,,0,4,0,dlrs_OpportunityTest: utility/business logic class,config\apex-metadata-custom\classes\dlrs_OpportunityTest.cls
48,Class,dlrs_OpportunityLineItemTest,0,,,N,N,N,,0,0,0,dlrs_OpportunityLineItemTest: utility/business logic class,config\apex-metadata-custom\classes\dlrs_OpportunityLineItemTest.cls
49,Class,dlrs_AssetTest,0,,,N,N,N,,0,0,0,dlrs_AssetTest: utility/business logic class,config\apex-metadata-custom\classes\dlrs_AssetTest.cls
50,Class,dlrs_AccountTest,0,,,N,N,N,,0,1,0,dlrs_AccountTest: utility/business logic class,config\apex-metadata-custom\classes\dlrs_AccountTest.cls
51,Class,agxBankHolidayTest,0,,,N,N,N,,0,0,0,agxBankHolidayTest: utility/business logic class,config\apex-metadata-custom\classes\agxBankHolidayTest.cls
52,Class,VantageApiInvoiceQueryTest,0,,,N,N,N,,0,0,0,VantageApiInvoiceQueryTest: utility/business logic class,config\apex-metadata-custom\classes\VantageApiInvoiceQueryTest.cls
53,Class,VantageApiInvoiceLinesQueryTest,0,,,N,N,N,,0,0,0,VantageApiInvoiceLinesQueryTest: utility/business logic class,config\apex-metadata-custom\classes\VantageApiInvoiceLinesQueryTest.cls
54,Class,TriggerStopper,0,,,N,N,N,,0,0,0,TriggerStopper: utility/business logic class,config\apex-metadata-custom\classes\TriggerStopper.cls
55,Class,TestShippingLabelController,0,,,N,N,N,,1,4,0,TestShippingLabelController: utility/business logic class,config\apex-metadata-custom\classes\TestShippingLabelController.cls
56,Class,TestAgxPayableInvoiceRelease,0,,,N,N,N,,4,0,0,TestAgxPayableInvoiceRelease: utility/business logic class,config\apex-metadata-custom\classes\TestAgxPayableInvoiceRelease.cls
57,Class,TPSCheckerTest,0,,,N,N,N,Database.executeBatch,1,1,1,TPSCheckerTest: async=Database.executeBatch,config\apex-metadata-custom\classes\TPSCheckerTest.cls
58,Class,TPSCheckerSchedulerTest,0,,,N,N,N,System.schedule,0,2,1,TPSCheckerSchedulerTest: async=System.schedule,config\apex-metadata-custom\classes\TPSCheckerSchedulerTest.cls
59,Class,ShowProductsControllerTest,0,,,N,N,N,,0,5,0,ShowProductsControllerTest: utility/business logic class,config\apex-metadata-custom\classes\ShowProductsControllerTest.cls
60,Class,ShowAssetsTest,0,,,N,N,N,,0,5,0,ShowAssetsTest: utility/business logic class,config\apex-metadata-custom\classes\ShowAssetsTest.cls
61,Class,ResolveApprovalRequestsTest,0,,,N,N,N,,3,0,0,ResolveApprovalRequestsTest: utility/business logic class,config\apex-metadata-custom\classes\ResolveApprovalRequestsTest.cls
62,Class,QuoteSyncUtil,0,,,N,N,N,,0,0,0,QuoteSyncUtil: utility/business logic class,config\apex-metadata-custom\classes\QuoteSyncUtil.cls
63,Class,QuickLightningLookupControllerTest,0,,,N,N,N,,0,2,0,QuickLightningLookupControllerTest: utility/business logic class,config\apex-metadata-custom\classes\QuickLightningLookupControllerTest.cls
64,Class,MassDeleteExtensionTest,0,,,N,N,N,,0,0,0,MassDeleteExtensionTest: utility/business logic class,config\apex-metadata-custom\classes\MassDeleteExtensionTest.cls
65,Class,GenericObjectOperationBatchTest,0,,,N,N,N,Database.executeBatch,5,19,1,GenericObjectOperationBatchTest: async=Database.executeBatch,config\apex-metadata-custom\classes\GenericObjectOperationBatchTest.cls
66,Class,DiscardInvoicesTest,0,,,N,N,N,,0,0,0,DiscardInvoicesTest: utility/business logic class,config\apex-metadata-custom\classes\DiscardInvoicesTest.cls
67,Class,DisableChatterDeletesTestSuite,0,,,N,N,N,,10,51,0,DisableChatterDeletesTestSuite: utility/business logic class,config\apex-metadata-custom\classes\DisableChatterDeletesTestSuite.cls
68,Class,ConductorFromListViewControllerTest,0,,,N,N,N,,1,1,0,ConductorFromListViewControllerTest: utility/business logic class,config\apex-metadata-custom\classes\ConductorFromListViewControllerTest.cls
69,Class,ConductorFromListViewController,0,,,N,N,N,,0,0,0,ConductorFromListViewController: utility/business logic class,config\apex-metadata-custom\classes\ConductorFromListViewController.cls
70,Class,CommissionPaymentControllerTest,0,,,N,N,N,,0,0,0,CommissionPaymentControllerTest: utility/business logic class,config\apex-metadata-custom\classes\CommissionPaymentControllerTest.cls
71,Class,CalloutHelperTest,0,,,N,N,N,,0,0,0,CalloutHelperTest: utility/business logic class,config\apex-metadata-custom\classes\CalloutHelperTest.cls
72,Class,BusinessHoursCalculatorTest,0,,,N,N,N,,0,0,0,BusinessHoursCalculatorTest: utility/business logic class,config\apex-metadata-custom\classes\BusinessHoursCalculatorTest.cls
73,Class,AgxPayableInvoiceHoldTest2,0,,,N,N,N,,4,0,0,AgxPayableInvoiceHoldTest2: utility/business logic class,config\apex-metadata-custom\classes\AgxPayableInvoiceHoldTest2.cls
